mode,gpu_count,batch_size,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time,peak_mem_bytes,peak_mem_gb
ddp_amp,1,64,1,0.4276692613612745,0.8246315964500239,0.33451992760682964,0.8490667996840836,605.589120388031,348533760,0.3245973587036133
ddp_amp,1,64,2,0.34052673280220525,0.8577827198470268,0.28752529799018994,0.8782890634742486,285.35842180252075,348534272,0.3245978355407715
ddp_amp,1,64,3,0.30131474341654024,0.8770550578845634,0.35041049155391363,0.8590223219852849,262.49720764160156,348534272,0.3245978355407715
ddp_amp,1,64,4,0.2655572680135826,0.8947737617691685,0.2441430606216486,0.9027725817849275,256.1968343257904,348534272,0.3245978355407715
ddp_amp,1,64,5,0.23646153894867292,0.9072599921019268,0.23272385149073035,0.9072203516647961,257.77560114860535,348534272,0.3245978355407715
ddp_amp,1,64,6,0.2161779097839981,0.9159686571196973,0.18731631353400258,0.9267988527247787,276.6110064983368,348534272,0.3245978355407715
ddp_amp,1,64,7,0.20084326221603307,0.9224066260677988,0.23377449748254148,0.9110653863740283,272.24796533584595,348534272,0.3245978355407715
ddp_amp,1,64,8,0.18949674383092927,0.9275091970984973,0.18341605110388867,0.9282952986656691,270.55980491638184,348534272,0.3245978355407715
ddp_amp,1,64,9,0.1788243180442396,0.9317596075904642,0.15820401806127116,0.9392692355655319,280.10963916778564,348534272,0.3245978355407715
ddp_amp,1,64,10,0.17040967926418016,0.9357865857460561,0.15405250096125866,0.9413892006484599,270.46420979499817,348534272,0.3245978355407715
ddp_amp,1,128,1,0.4331130294826762,0.8229272753725604,0.37095999377779854,0.8312549361932078,266.14497995376587,583152640,0.5431032180786133
ddp_amp,1,128,2,0.34158894977708726,0.857564483611498,0.3215689763179636,0.8520804755372656,282.21027970314026,583153152,0.5431036949157715
ddp_amp,1,128,3,0.3093206763894374,0.8739685739820838,0.3271560285208048,0.8569231408737582,279.7341549396515,583153152,0.5431036949157715
ddp_amp,1,128,4,0.2787431655036061,0.8887462847878952,0.2496372953428316,0.8964542544789459,261.49547600746155,583153152,0.5431036949157715
ddp_amp,1,128,5,0.2536100316572444,0.8989670151518301,0.2846892804394251,0.8824042898116973,263.2614188194275,583153152,0.5431036949157715
ddp_amp,1,128,6,0.2345829049256438,0.9083459771787251,0.21997716767079228,0.912832023943135,277.3553764820099,583153152,0.5431036949157715
ddp_amp,1,128,7,0.21883571536668883,0.9142643360422339,0.2693755731829613,0.8968699339069709,256.3802070617676,583153152,0.5431036949157715
ddp_amp,1,128,8,0.20794537810077318,0.9190655332238689,0.2349706921647026,0.9068670241509748,252.4861557483673,583153152,0.5431036949157715
ddp_amp,1,128,9,0.19491564779789247,0.9247656558518488,0.19149620562622105,0.9254686785550983,545.9054369926453,602419200,0.5610466003417969
ddp_amp,1,128,10,0.18456059010818282,0.9291563610666556,0.21484937222663883,0.9172590098516025,251.51221370697021,602419712,0.5610470771789551
ddp_amp,1,512,1,0.5540217495791159,0.805447592126868,0.3809565968974727,0.829883194080725,276.77734208106995,1992049664,1.855240821838379
ddp_amp,1,512,2,0.3507131404843805,0.8493546442749361,0.31621148145550154,0.8637818514361725,296.918119430542,1992050176,1.855241298675537
ddp_amp,1,512,3,0.3230391742161682,0.862495583314281,0.31505839727652035,0.8602693602693603,275.3304853439331,1992050176,1.855241298675537
ddp_amp,1,512,4,0.30136753661302557,0.8744881840666764,0.2791682132864135,0.8825082096687035,264.61995124816895,1992050176,1.855241298675537
ddp_amp,1,512,5,0.28464946778937084,0.8834566541267433,0.2726618965828553,0.8871014673483809,248.87799715995789,1992050176,1.855241298675537
ddp_amp,1,512,6,0.2714207227646374,0.8893386402843306,0.273271796540508,0.8868728436629671,242.39639687538147,1992050176,1.855241298675537
ddp_amp,1,512,7,0.25671121078242887,0.8958753351485046,0.29701474379208753,0.8809909797564118,243.37194061279297,1992050176,1.855241298675537
ddp_amp,1,512,8,0.2476748463577931,0.8999802548167855,0.32002805998513945,0.8667331753751507,242.40230870246887,1992050176,1.855241298675537
ddp_amp,1,512,9,0.2362372541270031,0.906127242117515,0.2745498281100615,0.8925052999127073,244.5811686515808,1992050176,1.855241298675537
ddp_amp,1,512,10,0.2300292532358718,0.9093072558352212,0.24726851121165358,0.8996134181319366,241.75431942939758,1992050176,1.855241298675537
